ein,cik,name,state_inc,hq_state,hq_city,sic,sic_desc,tickers,former_names,last_filing
873225116,0001894107,"Society Brands, Inc.",DE,OH,CANTON,,,,"EnCapA, Inc.",2023-02-14
461090667,0001759081,"Solutions Vending International, Inc.",DE,OH,COLUMBUS,7372,Services-Prepackaged Software,,,2025-12-29
272915235,0001814797,"Spintech Holdings, Inc.",DE,OH,MIAMISBURG,,,,,2023-06-16
272915235,0001513349,"Spintech, LLC",OH,OH,XENIA,,,,"Spintech Ventures, LLC",2018-08-22
881160783,0002050139,SupplyNow Inc.,DE,OH,CLEVELAND,,,,,2025-07-24
223286312,0001039542,TEKNI PLEX INC,DE,NJ,SOMERVILLE,3050,"Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose",,,2009-12-14
581493818,0000721683,TOTAL SYSTEM SERVICES INC,GA,GA,COLUMBUS,7389,"Services-Business Services, NEC",,,2019-09-30
133139732,0000916365,TRACTOR SUPPLY CO /DE/,DE,TN,BRENTWOOD,5200,"Retail-Building Materials, Hardware, Garden Supply",TSCO,,2026-09-09
752303920,0000860731,TYLER TECHNOLOGIES INC,DE,TX,PLANO,7372,Services-Prepackaged Software,TYL,TYLER CORP /NEW/,2026-09-15
823446932,0001860687,Terry Thomsen LLC,OH,OH,CLEVELAND,,,,,2021-05-10
800810911,0001552492,"Tower Partners, LLC",OH,NY,PLAINVIEW,,,,,2012-06-19
310841368,0001498040,U.S. Bank Municipal Products Group,,NY,New York,,,,U.S. Bank Municipal Securities Group,2025-06-13
363104688,0000100923,UNION TANK CAR CO,DE,IL,CHICAGO,3743,Railroad Equipment,,,2008-11-10
742099724,0000319687,"UNITED AIRLINES, INC.",DE,IL,CHICAGO,4512,"Air Transportation, Scheduled",,"CONTINENTAL AIRLINES, INC. | CONTINENTAL AIRLINES INC /DE/",2026-08-14
310841368,0000830013,US BANK NATIONAL ASSOCIATION,DE,MN,MINNEAPOLIS,,,,,2026-08-12
262786046,0001514029,Updox LLC,DE,OH,DUBLIN,,,,,2017-02-14
454660612,0001707862,"Upstart Funding I, LLC",DE,CA,SAN CARLOS,,,,,2024-02-06
454660612,0001721221,"Upstart Funding II, LLC",DE,CA,SAN CARLOS,,,,,2026-06-18
464332431,0001647639,"Upstart Holdings, Inc.",DE,CA,BURLINGAME,6199,Finance Services,UPST,,2026-09-10
454660612,0001555581,"Upstart Network, Inc.",DE,CA,PALO ALTO,,,,,2014-01-27
