ein,sponsor,sponsor_state,participants_2015,plans_2015,participants_2019,plans_2019,participants_2023,plans_2023
311437701,"TS TECH AMERICAS, INC.",OH,6997,2,4105,2,3729,2
113705112,"TTL ASSOCIATES, INC.",OH,96,1,93,1,,
752303920,"TYLER TECHNOLOGIES, INC.",TX,3297,3,5231,3,8973,2
363435795,"UGN, INC.",IL,1531,3,1886,3,1911,3
341832279,UMD AUTOMATED SYSTEMS,OH,69,1,67,1,59,1
621551944,UMICORE USA INC.,NC,888,3,830,2,726,3
341108705,"UNI-GRIP, INC",OH,77,2,94,2,88,2
752459038,"UNICONTROL, INC.",OH,,,55,1,,
341084436,UNION HOME MORTGAGE CORPORATION,OH,301,2,1145,2,1590,2
364894629,UNION METAL INDUSTRIES CORPORATION,OH,,,,,135,3
363104688,UNION TANK CAR COMPANY,IL,2668,9,3211,1,,
742099724,"UNITED AIRLINES, INC.",IL,119004,13,116996,12,118641,12
341403360,"UNITED EQUITY, INC.",OH,40,1,46,2,40,1
133246026,UNITED GRINDING NORTH AMERICA IN,OH,165,2,185,2,190,2
911347935,UNIVAR SOLUTIONS USA INC.,IL,5583,6,5850,4,8613,4
311380080,UNIVERSAL PRODUCTION CORPORATION,OH,176,2,126,1,187,4
340714775,UNIVERSITY HOSPITALS HEALTH SYSTEM,OH,28615,7,30320,6,34924,6
310536715,UNIVERSITY OF DAYTON,OH,4556,3,5103,4,6244,3
412194439,"UNIVERSITY TEES, INC",OH,0,1,85,1,118,2
340936989,UNVERFERTH MANUFACTURUNG CO. INC.,OH,1063,2,906,2,1182,2
262786046,UPDOX LLC,OH,15,1,108,1,,
272364762,UPRYS LLC,OH,,,,,26,1
454660612,"UPSTART NETWORK, INC.",CA,,,,,2060,2
208104524,"USA VINYL, LLC",OH,30,1,101,2,136,2
133744485,"VALEO NORTH AMERICA, INC.",MI,4099,7,5544,3,5839,6
472420000,"VALGROUP NORTH AMERICA, INC.",OH,0,1,143,2,150,2
311274364,"VALUED RELATIONSHIPS, INC.",OH,252,2,371,2,512,1
800455983,"VAZQUEZ COMMERCIAL CONTRACTING, LLC",MO,,,,,73,1
208235463,VEEVA SYSTEMS INC.,CA,564,2,1609,2,4265,2
310547954,"VEGA AMERICAS, INC.",OH,301,2,256,1,462,5
311728288,VELOCYS INC,OH,132,1,89,1,67,1
475253747,VEONEER BRAKE SYSTEMS LLC,OH,,,192,1,138,1
800631677,"VIGILANT, LLC DBA VIGILANT TECHNOLOGY SOLUTIONS",OH,5,1,20,1,,
311564962,"VINYLMAX, LLC",OH,137,2,143,2,346,2
311012711,VITATOE INDUSTRIES INC,OH,,,142,1,170,1
340891000,"VOSS INDUSTRIES, INC. EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST",OH,291,2,170,1,,
311450435,"VYA, INC.",OH,35,1,42,1,57,1
341452106,"W.C. FELTON AGENCY, INC. D/B/A UNITED INSURANCE SERVICE",OH,92,1,109,1,122,1
263039980,"WAGENBRENNER DEVELOPMENT, INC.",OH,,,53,1,151,2
341096771,WAGNER MACHINE INC.,OH,29,1,,,,
361924025,WALGREEN CO.,IL,269600,18,255822,3,273508,5
941647336,WALKENHORST'S,NV,44,1,92,1,162,1
133607217,"WAREHOUSE ASSOCIATES, L.P.",OH,9,2,9,1,7,1
453065980,"WARHOL & WALL ST., LTD",OH,,,2,1,2,1
311176515,"WEASTEC, INC.",OH,349,2,177,2,196,2
341059179,"WEBSTER INDUSTRIES, INC.",OH,373,3,244,3,316,3
030223034,WEIDMANN ELECTRICAL TECHNOLOGY INC,VT,517,1,705,2,757,2
352022237,"WELCH PACKAGING GROUP, INC.",IN,674,2,1130,2,1737,2
271434287,WELLMAN SERVICES LLC,OH,,,7,1,22,2
800298170,WELLNESS PET COMPANY,MA,296,1,319,1,534,2
311440199,"WEST CHESTER HOLDINGS, INC.",OH,133,2,217,3,,
311184551,WEST ENTERPRISES INC,OH,,,0,1,23,2
381490038,WHIRLPOOL CORPORATION,MI,27924,12,31297,7,31078,6
310849372,WHITE MACHINE & MANUFACTURING COMPANY,OH,,,10,1,9,1
562479324,"WIL RESEARCH LABORATORIES, LLC",OH,635,1,,,,
361178800,"WILBERT, INC.",NC,1701,2,1421,2,758,2
310682235,"WILLIAM R HAGUE, INC",OH,84,1,,,,
133160717,"WILLIAMS LEA, LLC",WV,3736,2,4008,2,2445,2
260422372,"WILLOWTREE, LLC",VA,74,1,365,2,970,2
222379300,WILSON SPORTING GOODS CO.,IL,1192,6,1815,6,2511,3
310517028,"WISCO PRODUCTS, INC.",OH,0,1,12,1,14,1
341016421,"WODIN, INC.",OH,30,1,28,2,18,1
454011666,WOLF'S RIDGE BREWING,OH,,,27,1,97,1
340840360,WOODHILL PLATING WORKS CO,OH,16,1,0,1,11,1
341478051,"WURTEC, INC.",OH,55,1,78,1,109,1
814251752,XALOY LLC,OH,,,,,340,2
471150410,XELLIA PHARMACEUTICALS USA LLC,IL,,,419,1,457,1
200976157,"XTEK PARTNERS, INC.",OH,32,1,30,2,48,1
824786509,YOUNGSTOWN TOOL AND DIE CO LLC,OH,,,46,1,73,1
832349752,ZANESVILLE STEEL LTD,OH,,,5,1,15,1
310792900,"ZEBCO INDUSTRIES, INC.",OH,19,1,22,3,25,1
810550216,"ZIMMER SURGICAL, INC.",IN,297,3,288,2,324,7
208619767,"ZIPLINE LOGISTICS, LLC",OH,33,1,74,1,102,1
