ein,sponsor,sponsor_state,participants_2015,plans_2015,participants_2019,plans_2019,participants_2023,plans_2023
823531143,"CARPE DIEM INDUSTRIES, LLC",OH,,,36,1,40,1
341468011,CARROLL & JAMESON CORPORATION,OH,,,51,1,52,1
454788036,"CARVANA, LLC",AZ,,,3779,2,14099,2
341018992,CASE WESTERN RESERVE UNIVERSITY,OH,6210,7,6154,6,5852,7
341290571,"CAST NYLONS CO., LTD",OH,110,1,127,2,159,2
222769024,"CBIZ, INC.",OH,5778,2,6377,2,8402,2
222784124,CENTOR INC.,NJ,0,1,,,,
341943090,"CENTRAL MACHINERY COMPANY, LLC DBA CEN MAC METAL",OH,44,1,62,1,102,1
161128471,"CENTURY MOLD CO., INC.",NY,376,2,429,2,563,2
300836516,"CERELIA BAKERY USA, INC",OH,,,42,1,,
270733747,"CERKL, INC.",OH,,,6,1,39,2
630944385,CFD RESEARCH CORPORATION,AL,112,2,186,3,294,3
340654854,CHALFANT MANUFACTURING,OH,10,1,,,57,2
760509980,"CHARLES RIVER LABORATORIES, INC.",MA,4625,3,7679,3,15856,2
391138388,"CHARTER MANUFACTURING COMPANY, INC.",WI,2158,4,2374,2,2872,2
473019794,"CHARTER NEXT GENERATION, INC.",IL,,,,,2419,2
272293444,CHEER PACK NORTH AMERICA LLC,MA,191,1,329,2,276,2
341866677,"CHEFS GARDEN, INC.",OH,102,1,113,1,169,1
901020167,"CHEWY, INC.",FL,528,2,10056,2,17899,3
310833936,CHILDREN'S HOSPITAL MEDICAL CENTER,OH,18818,6,20344,5,27933,4
237303509,CHILDREN'S HUNGER ALLIANCE,OH,,,67,1,55,1
311383873,CHILLICOTHE STEEL COMPANY,OH,,,,,37,2
475207341,"CHIPPEWA INDUSTRIES, INC.",OH,,,7,1,,
311208705,CHRISTOPHER GERDES,OH,,,,,1060,1
134996950,"CHURCH & DWIGHT CO., INC.",NJ,3076,10,3767,10,4454,4
208765780,"CITY APPAREL, INC.",OH,,,4,1,12,1
311657386,CITY BARBEQUE,OH,417,3,629,2,988,2
310821189,CITYWIDE DEVELOPMENT CORPORATION,OH,19,1,20,1,20,1
391684871,"CLARIOS, LLC",WI,4524,2,4390,2,5557,3
830846896,CLEVELAND KITCHEN CO.,OH,,,,,86,1
270404394,"CLEVELAND SPECIALTY PRODUCTS, INC.",OH,,,,,22,1
311267098,CLEVELAND-CLIFFS STEEL CORPORATION,OH,33874,24,15257,18,10304,19
262024381,CLINICAL MANAGEMENT CONSULTAN,OH,,,13,1,,
341044431,"COASTAL PET PRODUCTS, INC.",OH,719,2,527,2,550,2
341398298,"COBLENTZ DISTRIBUTING, INC",OH,210,2,271,2,408,2
341876781,"COLDWATER MACHINE COMPANY, LLC",OH,122,1,139,1,,
314153030,COLUMBUS CLUB,OH,24,1,30,1,20,1
061678153,COLUMBUS STEEL CASTINGS,OH,783,2,,,,
475676237,COMMUTEAIR LLC,OH,,,1495,1,1823,1
061569176,"COMPONENT HARDWARE GROUP, INC.",NJ,176,2,161,2,107,1
470248710,"CONAGRA BRANDS, INC.",IL,32922,17,30966,14,29934,11
201248880,CONAGRA FOODS PACKAGED FOODS LLC,IL,290,1,,,,
830856691,CONNECTE TECHNOLOGY,OH,,,2,1,,
205669637,"CONSOLIDUS, LLC",OH,9,1,12,2,21,2
311652755,CONSTRUCTION SOFTWARE TECHNOLOGIES,OH,228,1,,,,
454001073,"CONTACTUS, LLC",OH,,,865,3,580,2
344210902,"COPELAND, LP",MO,1931,1,1925,1,5028,3
270173350,"CORE SPECIALTY INSURANCE SERVICES, INC.",OH,,,,,750,2
911295550,"CORE-MARK INTERNATIONAL, INC.",TX,6369,3,7833,2,,
341483237,"CORNERSTONE WAUSEON, INC.",OH,204,2,218,1,,
202485456,"CORVAC COMPOSITES, LLC",MI,182,2,244,2,186,2
311364595,COSTUME SPECIALISTS INC.,OH,40,1,68,1,64,1
204055028,"COTSWORKS, INC.",OH,53,1,105,1,108,1
263446223,"COVERMYMEDS, LLC",OH,158,5,1052,8,,
310899736,COYNE GRAPHIC FINISHING,OH,34,1,36,1,52,1
813941507,CPG - OHIO LLC,OH,,,54,1,88,1
274356106,CRANE CONSUMABLES,OH,,,26,1,,
813604877,"CRD CONSTRUCTION, LLC",OH,,,,,13,1
311682777,"CREATIVE PACKAGING, LLC",OH,66,1,73,1,90,1
340941570,CREDIT ADJUSTMENTS,OH,81,1,291,1,,
720728139,"CREST INDUSTRIES, LLC",LA,794,5,837,5,1359,5
202164234,"CROCS, INC.",CO,2711,3,2517,2,5263,2
344412691,CROWN EQUIPMENT CORPORATION,OH,8280,3,11737,3,13625,3
311670693,"CTI - CLINICAL TRIAL SERVICES, INC.",KY,277,2,471,2,738,2
205871676,"CUSTOM GLASS SOLUTIONS, LLC",OH,,,0,1,1021,1
462460862,CUSTOM PRO LOGISTICS,OH,,,15,1,24,2
204459634,"CUTTING EDGE COUNTERTOPS, INC.",OH,72,1,176,2,239,2
810868928,"CUTTING EDGE MANUFACTURING, LLC",OH,,,14,1,21,2
264753241,CUYAHOGA COUNTY LAND REUTILIZATI,OH,34,1,46,1,49,1
363280906,DAIDO METAL USA INC.,OH,43,2,64,1,72,1
800595003,DAISY BRAND LLC,TX,493,4,702,2,796,2
472151591,"DANIELS INDUSTRIAL SERVICES, LLC",OH,,,10,1,32,2
341940366,"DEALER TIRE, LLC",OH,1122,6,1520,6,10179,1
311745568,"DECEUNINCK NORTH AMERICA, INC.",OH,372,1,541,1,553,1
462633179,"DECKED, LLC",ID,,,,,136,2
203900803,DEDIENNE AEROSPACE LLC,FL,,,45,1,,
455425838,DEFRIES COPP LLC DBA COPP INTEGRATED SYSTEMS,OH,23,1,38,2,32,2
453810227,"DETROIT MANUFACTURING SYSTEMS, LLC",MI,908,3,1050,3,2063,3
454388819,"DEWESOFT, LLC",OH,7,1,17,1,54,1
272450190,"DIAMOND MANUFACTURING OF BLUFFTON, LLC",OH,,,85,1,63,1
814442785,DIGITAL ROOM LLC,CA,,,676,1,1364,2
341032966,"DISCOUNT DRUG MART, INC.",OH,3892,2,4395,3,4706,3
464523320,DITSCH USA LLC.,OH,,,,,175,2
311383824,"DIVERSIFIED SYSTEMS, INC.",OH,23,1,42,1,,
611346414,"DIVISIONS, INC.",OH,111,2,298,2,813,2
311624971,"DMAX, LTD.",OH,584,7,689,7,1166,3
610502302,DOLLAR GENERAL CORPORATION,TN,108678,3,144871,2,206816,7
843857873,"DOVE DIE & STAMPING LLC, AN OHIO LIMITED LIABILITY COMPANY",OH,,,,,41,1
341775903,DOWNTOWN CLEVELAND ALLIANCE,OH,24,1,27,1,35,1
202018667,"DYNAMIT TECHNOLOGIES, LLC",OH,64,1,132,2,,
310940115,"DYSINGER, INC.",OH,66,1,55,1,59,1
475369803,EAGLE FAMILY FOODS GROUP LLC,OH,,,370,2,477,2
262604359,EARTHQUAKER DEVICES LLC,OH,,,52,1,52,1
472692010,"ECCRINE SYSTEMS, INC.",OH,,,55,1,,
471395397,"ECS TUNING, LLC",OH,192,1,357,1,807,1
311734210,EGELHOF CONTROLS CORP.,OH,33,1,53,1,43,1
371440638,ELECTRIPACK INC.,OH,0,1,46,2,50,1
204410794,ELECTROCRAFT OHIO INC.,OH,135,1,,,,
311019872,"ELEVAR DESIGN GROUP, INC.DBA SFA ARCHITECTS,INC.",OH,40,1,85,1,93,1
341919610,ENCORE INDUSTRIES INC,OH,235,2,301,1,180,1
472512296,ENCORE TECHNOLOGIES,OH,,,,,279,2
311669463,ENGINEERED PROFILES LLC,OH,292,3,373,3,600,3
341459124,ENVELOPE MART OF NE OHIO DBA EM PRINT GROUP,OH,,,,,30,1
340680692,ERICSON MANUFACTURING COMPANY,OH,91,1,93,1,91,1
203246696,ERNST METAL TECHNOLOGIES LLC,OH,,,137,1,131,1
382673743,ESSILOR LABORATORIES OF AM INC. DBA BELL OPTICAL,TX,76,2,59,2,,
208588211,"EUROSTAMPA NORTH AMERICA, INC.",OH,146,6,267,2,296,2
363459913,EVANS FOOD GROUP LTD,IL,144,2,409,10,570,1
371888955,EVE ENERGY NORTH AMERICA CORP,OH,,,3,1,8,4
270900879,"EVERGREEN RESOURCES, LLC",OH,,,23,1,,
843192180,"EVOLVE SOLUTIONS, LLC",OH,,,,,38,1
464113583,EXACT CARE PHARMACY LLC,OH,284,2,356,2,,
611624649,EXCELITAS TECHNOLOGIES,MA,774,2,794,2,1529,2
042801160,EXEL INC.,OH,21609,4,27987,4,42232,3
341224718,"EXPERT CRANE, INC.",OH,33,1,47,1,76,1
262828128,"EXPRESS, INC.",OH,,,,,3272,1
203319511,"FACILITYSOURCE, LLC",AZ,170,1,20,1,,
271931373,FAT HEADS BREWING LP,OH,,,46,1,68,1
311054769,"FAXON MACHINING, INC.",OH,129,2,122,2,154,2
311644350,FCX PERFORMANCE INC.,OH,635,2,1179,1,,
112270659,FESTO CORPORATION,NY,550,2,1013,2,1107,2
273929785,"FEW AUTOMOTIVE GLASS APPLICATION, INC.",OH,,,37,1,34,1
341545822,"FINDLAY MACHINE & TOOL, INC. D/B/A FMT, INC.",OH,49,1,49,1,,
208033614,FIRE-DEX LLC,OH,95,1,192,1,470,9
341014060,"FIRELINE, INC.",OH,108,2,109,2,97,2
341471454,"FIRST CHOICE PACKAGING, INC.",OH,62,1,62,1,84,1
204623678,"FIRST SOLAR, INC.",OH,2239,3,2616,2,3467,2
341339938,FIRSTMERIT CORPORATION,OH,6143,5,,,,
113158401,"FISHER HOUSE FOUNDATION, INC.",MD,29,1,30,1,40,1
264715674,FLECK MANUFACTURING,OH,,,5,1,6,1
133916524,FLIGHTSAFETY INTERNATIONAL INC.,OH,4116,2,6144,2,6490,2
352549748,"FLUVITEX USA, INC.",OH,,,,,105,2
843555353,FORGE BIOLOGICS INC,OH,,,,,298,2
272611716,"FORJAK INDUSTRIAL, INC.",OH,,,61,1,102,2
320536305,"FORMLABS OHIO, INC. DBA SPECTRA PHO",OH,,,36,1,59,1
882794171,"FORSEE POWER, INC.",OH,,,,,1,1
621554972,"FORWARD AIR, INC",TN,1923,1,3354,1,3887,1
341474815,"FOUNDATION SOFTWARE, LLC",OH,149,3,329,2,506,2
314183710,"FRANKLIN INTERNATIONAL, INC.",OH,335,4,385,4,448,4
382858208,FREUDENBERG - NOK GENERAL PARTNERSHIP,MI,4847,6,,,,
341965647,FULTON COUNTY PROCESSING,OH,,,119,2,119,1
341266185,"FULTON INDUSTRIES, INC.",OH,65,4,52,2,51,2
383928174,FUYAO GLASS AMERICA INC.,OH,233,1,3729,1,2207,2
341031008,"G&J PEPSI-COLA BOTTLERS, INC.",OH,2249,6,1892,6,1654,4
341145880,"G&S METAL PRODUCTS CO., INC.",OH,211,2,215,2,332,2
392059617,"GATEWAY LOGISTICS, INC.",OH,,,31,1,70,2
310568575,GAYSTON CORPORATION,OH,69,2,64,2,,
310733949,"GEIGER BROTHERS, INC.",OH,10,1,12,1,120,2
540582680,"GENERAL DYNAMICS LAND SYSTEMS, INC.",MI,6488,2,5898,1,5434,1
140689340,GENERAL ELECTRIC COMPANY,OH,490975,23,422409,22,163876,21
410274440,"GENERAL MILLS, INC.",MN,38080,18,20137,16,22757,19
310533100,GENERAL TOOL COMPANY,OH,310,1,335,1,302,1
340655810,GENT MACHINE CO,OH,43,1,51,1,68,1
310976407,GG BRANDS COMPANY LLC,OH,208,2,521,1,,
230628360,GLATFELTER CORPORATION,NC,5830,5,5707,5,1481,2
341400789,"GLAZING SYSTEMS, INC.",OH,,,5,1,4,1
412066094,GLOBAL BODY EQUIPMENT CO.,OH,100,2,68,1,44,1
275245539,GLOBAL CLEVELAND,OH,8,1,9,1,17,1
481299541,"GLOBAL COOLING, INC.",OH,,,105,2,,
811520982,"GLOBAL GRAPHENE GROUP, INC.",OH,,,49,1,55,1
340659953,"GOJO INDUSTRIES, INC.",OH,1574,3,2086,3,2373,2
814719550,GOODLEVEL ENTERPRISES LLC DBA,OH,,,33,1,63,2
383360436,GRAMINEX L.L.C.,MI,17,1,19,1,28,1
461560163,GRAPHIC VILLAGE LLC,OH,,,140,1,176,1
341015620,GREAT LAKES CHEESE CO,OH,2372,3,3507,2,4879,3
341102630,"GREEN CIRCLE GROWERS, INC.",OH,593,2,844,2,880,2
861365263,GREEN MEADOWS PAPER COMPANY,OH,,,,,80,1
340818723,"GREGORY INDUSTRIES, INC.",OH,290,2,224,2,265,2
341568276,"GRIFFETH AND SON TRUCKING, INC.",OH,,,9,1,,
133059174,"GROB SYSTEMS, INC.",OH,454,1,654,1,884,2
452676797,"GVS FILTRATION, INC.",OH,471,3,344,3,218,3
341488414,HALTEC CORPORATION,OH,81,1,121,2,184,2
310308370,HAMILTON CASTER & MFG. CO.,OH,95,3,84,3,77,3
310729027,HAMILTON SAFE CO.,OH,270,2,266,2,365,2
854302513,HANNECARD ROLLER COATINGS INC.,OH,,,,,36,1
611697358,"HANON SYSTEMS USA, LLC",MI,319,2,548,3,669,3
431680037,"HARBISONWALKER INTERNATIONAL, INC.",PA,316,5,3944,13,3336,11
341697384,"HARBOR CASTINGS, INC.",OH,47,1,65,1,84,1
770043660,HARDY DIAGNOSTICS,CA,354,3,541,3,670,3
310882102,HEARTH PRODUCT CONTROLS,OH,,,,,45,1
870574076,"HEMASOURCE, INC.",UT,29,1,75,1,133,2
311179223,HENNY PENNY CORPORATION,OH,664,5,1137,4,1377,4
344493159,"HERBERT E. ORR COMPANY, INC.",OH,59,1,64,1,67,1
272252732,HEROUX DEVTEK,OH,211,2,134,2,,
223114571,HIKMA PHARMACEUTICALS USA INC.,NJ,1075,2,2274,2,2525,2
341136697,HILLCREST EGG AND CHEESE COMPANY,OH,88,2,115,2,173,3
341374782,"HOFFMAN ANALYTIC SERVICES, INC.",OH,62,1,66,1,76,1
208826851,"HOMAGE, LLC",OH,,,76,1,132,1
581853319,"HOME DEPOT USA, INC.",GA,307253,9,368918,7,412232,3
831024049,HOMETOWN FOOD COMPANY,IL,,,236,1,367,2
310625744,"HONEYMOON PAPER PRODUCTS, INC.",OH,95,1,146,2,,
812246204,HOSANNA REVIVAL,OH,,,,,10,2
250317820,HOWMET AEROSPACE INC.,PA,49799,17,22651,16,12471,12
383214772,"HP PELZER AUTOMOTIVE SYSTEMS, INC.",MI,555,2,1006,2,815,2
262590893,"HSN, INC.",FL,8952,2,8195,1,,
341193031,HUMTOWN PATTERN COMPANY,OH,78,1,49,1,77,1
134133473,"HUNTER DEFENSE TECHNOLOGIES, INC.",OH,837,2,1129,2,1141,2
814598385,"HYDRAULIC MANIFOLDS, USA LLC",OH,,,27,1,19,1
823296382,HYDROFRESH LTD,OH,,,15,1,,
310617669,HYLAND MACHINE COMPANY,OH,24,1,23,1,25,1
341699247,"HYLAND SOFTWARE, INC.",OH,1827,3,3242,2,4119,2
340971763,"HYNES INDUSTRIES, INC.",OH,222,6,288,6,179,7
460717135,IMAGINE BAKING INC,OH,11,1,15,1,21,1
341263101,"IMCD US, LLC",OH,82,1,165,3,373,1
341237442,"IMCO CARBIDE TOOLS, INC.",OH,84,1,111,1,116,2
464091280,INCENTA REWARDS LLC,OH,,,,,3,1
520902777,INDEPENDENT CAN COMPANY,MD,395,2,403,2,572,2
311130926,"INDUSTRIAL GRINDING, INC.",OH,16,1,14,1,16,1
